ticker,short name,country,region,size,cum net income,cum dividend amount,cum buyback amount,cum payout amount,cum payout % of net income,avg annual payout % of net income,cum dividend % of cum payouts,cum buyback % of cum payouts,avg annual dividend yield,avg annual buyback yield,avg payout yield,avg annual EPS,avg annual DPS
4BE.F,BPER,IT,Southern Europe,Medium (50-200bn),6640418000.0,1669771466.52,3062000.0,1672833466.52,0.25191689235828224,0.2500473533149024,0.9981695727271825,0.0018304272728174712,0.08223362082199384,0.00029772208463259395,0.08253134290662645,0.938718974140663,0.23600000000000004
ABN.AS,ABN AMRO,NL,Western Europe,Large (200-500bn),10437000000.0,4982627310.160001,1500000000.0,6482627310.160001,0.6211197959336975,0.6551573877698104,0.7686123344389857,0.2313876655610143,0.10763852471396096,0.03185933701058236,0.13949786172454332,2.415579433412511,1.136
ACA.PA,Crédit Agricole,FR,Western Europe,Huge (>500bn),24585000000.0,12859054272.599998,0.0,12859054272.599998,0.5230447131421598,0.528099574893536,1.0,0.0,0.0912375501682378,0.0,0.0912375501682378,1.6250559643502676,0.85
AIBG.L,AIB,IE,Western Europe,Medium (50-200bn),6716173800.0,2130765373.9179258,2083177599.9999998,4213942973.917926,0.6274320914562881,0.4556083285236643,0.5056464662920771,0.4943535337079228,0.04166669429357702,0.03913296697989748,0.08079966127347452,0.6692124754405931,0.17307191559239998
ALPHA.AT,Alpha,GR,Southern Europe,Medium (50-200bn),1734000000.0,112262679.629676,0.0,112262679.629676,0.06474202977489965,0.09262597329181188,1.0,0.0,0.014147104843490703,0.0,0.014147104843490703,0.24966264917652126,0.048491
ARION.IC,Arion,IS,Northern Europe,Small (<50bn),950491861.6758919,550653990.6251713,412136241.5739574,962790232.1991286,1.0129389540501192,1.0127859851379621,0.5719355807831695,0.4280644192168305,0.08357526195882573,0.06419004947822052,0.14776531143704624,0.13115979910288605,0.0756990321044364
BAMI.MI,BPM,IT,Southern Europe,Medium (50-200bn),6323256040.0,3670904918.6900005,16016000.0,3686920918.6900005,0.583073166002938,0.5702025673883284,0.9956559957880272,0.004344004211972803,0.12562908838186343,0.0010183861099571823,0.12664747449182062,0.8405854727474542,0.488
BBVA.MC,BBVA,ES,Southern Europe,Huge (>500bn),39495000000.0,13700688070.79,7803000000.0,21503688070.79,0.544466086106849,0.5884464332056588,0.637132013154554,0.36286798684544597,0.07612213167238274,0.05129744096209392,0.1274195726344767,1.3390827802804293,0.462
BCP.LS,BCP,PT,Southern Europe,Medium (50-200bn),3309544000.0,1168098640.0066,72449000.0,1240547640.0066,0.37483944616134424,0.2650516517553689,0.941599179536858,0.05840082046314204,0.043920533740741875,0.0014632948110606362,0.04538382855180251,0.043794484027804545,0.01932148517831038
BG.VI,BAWAG,AT,Western Europe,Medium (50-200bn),2240700000.0,1814485666.9246001,325000000.0,2139485666.9246001,0.9548291457690008,1.1372696432489264,0.8480943317245164,0.15190566827548355,0.1119788853162417,0.021668387636625673,0.13364727295286738,5.5295348314638275,4.38436
BIRG.IR,Bank of Ireland ,IE,Western Europe,Medium (50-200bn),5024000000.0,1794127012.48,799000000.0,2593127012.48,0.516147892611465,0.41681309104651726,0.6918777999864122,0.3081222000135878,0.04427942534562611,0.019343280646735,0.06362270599236111,1.2017569977111395,0.348
BKT.MC,Bankinter,ES,Southern Europe,Medium (50-200bn),4712250000.0,1803413185.5721197,291108000.0,2094521185.5721197,0.44448430910332,0.48574902676734266,0.8610145354435822,0.13898546455641778,0.07581987391872878,0.013635791533484942,0.08945566545221371,1.048729026191988,0.4013553999999999
BMED.MI,MEDIOLANUM,IT,Southern Europe,Small (<50bn),4332727000.0,3049565931.3609104,55462000.0,3105027931.3609104,0.7166451824361217,0.7644532533609183,0.9821380028695292,0.017861997130470715,0.11492180689942062,0.0016125776659051446,0.11653438456532576,1.1741518237161694,0.826666
BMPS.MI,Monte,IT,Southern Europe,Medium (50-200bn),4133710000.0,1398255573.66,2630000.0,1400885573.66,0.33889304611595883,0.17752540874748823,0.9981226161155127,0.0018773838844872782,0.06539683800050329,0.00020097525493266959,0.06559781325543597,1.8939106745176821,0.37000000000000005
BNP.PA,BNP Paribas,FR,Western Europe,Huge (>500bn),53398000000.0,24862954303.76,0.0,24862954303.76,0.46561583399677886,0.47350471373438446,1.0,0.0,0.09020137269511667,0.0,0.09020137269511667,9.136116701784598,4.22
BOCHGR.AT,BoC,CY,Southern Europe,Small (<50bn),1542259000.0,299444965.24,251910000.0,551354965.24,0.3574982964858691,0.22441466122096942,0.5431074065137951,0.456892593486205,0.07536231926155254,0.007076697965548103,0.08243901722710065,0.6971263662924881,0.33999999999999997
BPSO.MI,SONDRIO,IT,Southern Europe,Medium (50-200bn),1556059000.0,827657599.5600001,267000.0,827924599.5600001,0.532065043523414,0.5022083971330012,0.9996775068645841,0.0003224931354158301,0.08927868318877388,2.549585389116655e-05,0.08930417904266504,0.6918293569142016,0.368
CABK.MC,CaixaBank,ES,Southern Europe,Huge (>500bn),25022000000.0,10086369028.2953,3638000000.0,13724369028.2953,0.548492088094289,0.6046596897848528,0.7349240615361189,0.26507593846388106,0.08318426192184893,0.03249645745761505,0.11568071937946396,0.677023383265633,0.27437999999999996
CBK.DE,COMMERZBANK,DE,Western Europe,Huge (>500bn),6766000000.0,1434383804.25,1194000000.0,2628383804.25,0.38846937692137157,0.2762826056227941,0.5457284441985429,0.4542715558014571,0.022773473323201943,0.015907650120833373,0.03868112344403531,1.1205993173133977,0.30000000000000004
