ticker,short name,country,region,size,cum net income,cum dividend amount,cum buyback amount,cum payout amount,cum payout % of net income,avg annual payout % of net income,cum dividend % of cum payouts,cum buyback % of cum payouts,avg annual dividend yield,avg annual buyback yield,avg payout yield,avg annual EPS,avg annual DPS,comments
4BE.F,BPER,IT,Southern Europe,Medium (50-200bn),4896243000.0,1669771466.52,3062000.0,1672833466.52,0.3416565449304701,0.2922700603207963,0.9981695727271824,0.0018304272728174,0.0822336207418418,0.0002977220844296,0.0825313428262715,0.8653520152047984,0.236,Conservative/Growth-oriented. Pure dividend strategy. High yield.
ABN.AS,ABN AMRO,NL,Western Europe,Large (200-500bn),8198000000.0,4982627310.160001,1500000000.0,6482627310.160001,0.7907571737204198,0.7687182593169972,0.7686123344389857,0.2313876655610143,0.1076385246759739,0.0318593370523511,0.1394978617283251,2.347544679440971,1.136,Conservative/Growth-oriented. Hybrid distribution. High yield.
ACA.PA,Crédit Agricole,FR,Western Europe,Huge (>500bn),24585000000.0,12859054272.599998,0.0,12859054272.599998,0.5230447131421598,0.528099574893536,1.0,0.0,0.0912375500273724,0.0,0.0912375500273724,1.6250559643502676,0.85,Conservative/Growth-oriented. Pure dividend strategy. High yield.
AIBG.L,AIB,IE,Western Europe,Medium (50-200bn),6713259300.0,2130765373.9179256,2082273600.0,4213038973.917926,0.6275698264653543,0.4557126751506613,0.5057549638417931,0.4942450361582068,0.0416847835743217,0.0391329670709877,0.0808177506453094,0.6689220690547919,0.1730719155923999,Conservative/Growth-oriented. Heavy buyback focus. High yield.
ALPHA.AT,Alpha,GR,Southern Europe,Medium (50-200bn),1330000000.0,112262679.629676,0.0,112262679.629676,0.0844080297967488,0.0,1.0,0.0,0.0141471048434907,0.0,0.0141471048434907,0.2872416292428834,0.048491,Conservative/Growth-oriented. Pure dividend strategy.
ARION.IC,Arion,IS,Northern Europe,Small (<50bn),728996547.3776511,441764533.6185401,412136241.5739574,853900775.1924975,1.1713372007921743,1.09705099210813,0.5173487909282571,0.4826512090717428,0.0703060284872862,0.0641900498078606,0.1344960782951468,0.1247542249416242,0.0753548528525237,Aggressive payout. Heavy buyback focus. High yield.
BAMI.MI,BPM,IT,Southern Europe,Medium (50-200bn),4438961000.0,3670904918.690001,16016000.0,3686920918.690001,0.8305819579604328,0.6211226720744147,0.9956559957880272,0.0043440042119728,0.1256290883370078,0.0010183861051794,0.1266474744421872,0.7369718119007003,0.488,Aggressive payout. Pure dividend strategy. High yield.
BBVA.MC,BBVA,ES,Southern Europe,Huge (>500bn),29084000000.0,13700688070.79,7803000000.0,21503688070.79,0.7393648765915968,0.6888498013072848,0.637132013154554,0.3628679868454459,0.0761221319838232,0.0512974412487899,0.1274195732326132,1.2217217333013386,0.462,Conservative/Growth-oriented. Hybrid distribution. High yield.
BCP.LS,BCP,PT,Southern Europe,Medium (50-200bn),2097896000.0,723959827.3366001,72449000.0,796408827.3366001,0.3796226444669326,0.2247267164350632,0.9090303905315962,0.0909696094684038,0.0349500025474141,0.0014632948110606,0.0364132973584748,0.0347012761754003,0.0159666666666666,Conservative/Growth-oriented. Pure dividend strategy.
BG.VI,BAWAG,AT,Western Europe,Medium (50-200bn),2240700000.0,1814485666.9246,325000000.0,2139485666.9246,0.9548291457690008,1.1372696432489264,0.8480943317245164,0.1519056682754835,0.1119788858381548,0.0216683877431462,0.1336472735813011,5.529534831463828,4.38436,Aggressive payout. Hybrid distribution. High yield.
BIRG.IR,Bank of Ireland ,IE,Western Europe,Medium (50-200bn),5024000000.0,1794127012.48,799000000.0,2593127012.48,0.516147892611465,0.4168130910465172,0.6918777999864122,0.3081222000135878,0.0442794254585797,0.0193432807269385,0.0636227061855182,1.2017569977111395,0.348,Conservative/Growth-oriented. Hybrid distribution.
BKT.MC,Bankinter,ES,Southern Europe,Medium (50-200bn),3691069000.0,1803413185.57212,291108000.0,2094521185.57212,0.5674565242676634,0.5409172969493725,0.8610145354435822,0.1389854645564177,0.075819874156193,0.0136357915777991,0.0894556657339921,1.0268323192384927,0.4013553999999999,Conservative/Growth-oriented. Hybrid distribution. High yield.
BMED.MI,MEDIOLANUM,IT,Southern Europe,Small (<50bn),3161383000.0,3049565931.3609104,0.0,3049565931.3609104,0.964630331522916,0.8487544752676461,1.0,0.0,0.1149218071367128,0.0,0.1149218071367128,1.070562139331444,0.826666,Aggressive payout. Pure dividend strategy. High yield.
BMPS.MI,Monte,IT,Southern Europe,Medium (50-200bn),4133710000.0,1398255573.66,0.0,1398255573.66,0.3382568137726159,0.1772049554437487,1.0,0.0,0.0653968380005032,0.0,0.0653968380005032,1.893910674517682,0.37,Conservative/Growth-oriented. Pure dividend strategy.
BNP.PA,BNP Paribas,FR,Western Europe,Huge (>500bn),41999000000.0,24862954303.76,0.0,24862954303.76,0.5919891974513678,0.5277185515005974,1.0,0.0,0.0902013727687524,0.0,0.0902013727687524,8.897248515378593,4.22,Conservative/Growth-oriented. Pure dividend strategy. High yield.
BOCHGR.AT,BoC,CY,Southern Europe,Small (<50bn),1081669000.0,299444965.24,251910000.0,551354965.24,0.5097261410283552,0.2327143964582554,0.5431074065137951,0.456892593486205,0.0753623203191215,0.0070766980888188,0.0824390184079403,0.6099231807305407,0.3399999999999999,Conservative/Growth-oriented. Heavy buyback focus. High yield.
BPSO.MI,SONDRIO,IT,Southern Europe,Medium (50-200bn),1556059000.0,827657599.5600001,0.0,827657599.5600001,0.531893456199283,0.5020580877290859,1.0,0.0,0.0892786829865357,0.0,0.0892786829865357,0.6918293569142016,0.368,Conservative/Growth-oriented. Pure dividend strategy. High yield.
CABK.MC,CaixaBank,ES,Southern Europe,Huge (>500bn),18958000000.0,10086369028.2953,3638000000.0,13724369028.2953,0.7239354904681559,0.7065551045161996,0.7349240615361189,0.265075938463881,0.0831842618109094,0.0324964574366559,0.1156807192475653,0.6332925262164544,0.2743799999999999,Conservative/Growth-oriented. Hybrid distribution. High yield.
CBK.DE,COMMERZBANK,DE,Western Europe,Huge (>500bn),6766000000.0,1434383804.25,1194000000.0,2628383804.25,0.3884693769213715,0.2762826056227941,0.5457284441985429,0.4542715558014571,0.0227734732936935,0.0159076501090025,0.0386811234026961,1.1205993173133977,0.3,Conservative/Growth-oriented. Heavy buyback focus.
CE.MI,CREDITO EMILIANO,IT,Southern Europe,Medium (50-200bn),1860716000.0,758948907.9100001,0.0,758948907.9100001,0.4078800353788542,0.384348684741388,1.0,0.0,0.0683467571035724,0.0,0.0683467571035724,1.09375137831162,0.446,Conservative/Growth-oriented. Pure dividend strategy.
DANSKE.CO,Danske,DK,Northern Europe,Large (200-500bn),7127497188.152751,5119340638.470499,1168121686.03717,6287462324.507669,0.8821416772999394,0.1020454529932251,0.8142141255488734,0.1857858744511265,0.0666908228522123,0.0103390572119369,0.0770298800641492,2.103065812527869,1.5128998138999346,Aggressive payout. Hybrid distribution.
DBK.DE,DEUTSCHE BANK,DE,Western Europe,Huge (>500bn),16028000000.0,3304373336.4,3759000000.0,7063373336.4,0.4406896266783129,0.4822607169111208,0.4678180210822815,0.5321819789177186,0.0296693586600462,0.0349005169386231,0.0645698755986693,1.566907717800741,0.3259999999999999,Conservative/Growth-oriented. Heavy buyback focus.
DNB.OL,DNB,NO,Northern Europe,Large (200-500bn),12472822342.828869,8434575630.086625,1215964560.941645,9650540191.02827,0.7737254589035943,0.8025712969935559,0.8740003629981169,0.125999637001883,0.0795237999016142,0.0102696927193366,0.0897934926209508,1.6421299487825145,1.1067044675411362,Conservative/Growth-oriented. Hybrid distribution. High yield.
